3194,350941.0,TED2009,1245978000.0
3200,1345342.0,TEDWomen 2015,1443019067.0
3209,905671.0,TEDWomen 2016,1479744572.0
3237,601931.0,TED2008,1205972760.0
3243,1308979.0,TEDGlobal 2014,1413385776.0
3247,1883071.0,TED2010,1275381600.0
3306,451831.0,TEDWomen 2010,1297276080.0
3307,806876.0,TED2009,1236042000.0
3315,1612316.0,TED2012,1336402784.0
3317,5137586.0,TED2014,1400080253.0
3326,1712139.0,TED2017,1497624958.0
3327,1565840.0,TEDxToronto 2010,1327510219.0
3329,1970002.0,TEDGlobal 2014,1415289068.0
3337,1296192.0,TEDGlobal 2014,1412784329.0
3339,1281472.0,TEDSummit,1468422019.0
3340,2936911,TEDGlobal 2014,1443539368
3346,2602521.0,TEDGlobal 2012,1341242739.0
3349,1062417.0,TEDxWomen 2012,1358870640.0
3357,1009567.0,TEDWomen 2010,1294334700.0
3368,544689.0,TEDxWomen 2012,1359994841.0
3380,2024117.0,TEDGlobal 2011,1310725320.0
3386,818528.0,TED2006,1176163140.0
3393,3386770.0,TED2009,1237251600.0
3394,1736793.0,TED2008,1205888400.0
3399,11979786.0,TED2014,1396008735.0
3400,955698.0,TED2010,1273568940.0
3406,4111686.0,TEDxSF,1353592800.0
3414,947254.0,TED2016,1457022586.0
3415,1871027.0,TED2006,1151367060.0
3419,2768296.0,TED2013,1366642774.0
3425,2033292.0,TEDActive 2014,1400252225.0
3426,5427091.0,TED2010,1266454800.0
3428,9003749.0,TED2010,1274691960.0
3439,62818053.0,TED2006,1151367060.0
3441,8546085.0,TED2014,1397055205.0
3442,3825274.0,TED2015,1430406030.0
3443,2007548.0,TEDGlobal 2013,1381158492.0
3444,1442550.0,TEDIndia 2009,1264583400.0
3469,1289830,TEDGlobal 2012,1348584705
3476,1855831.0,TED2007,1188280800.0
3478,3330087.0,TEDGlobal 2013,1374073155.0
3487,14189163.0,TED2006,1151440680.0
3494,5952503,TED2016,1456243722
3501,3835606.0,TEDGlobal 2012,1344265204.0
3513,3041994.0,TEDGlobal 2010,1283850660.0
3516,1389082.0,TEDGlobal 2014,1422288314.0
3522,683237.0,TED2009,1247128740.0
3525,988278.0,TEDWomen 2010,1297870800.0
3529,1849381.0,TED2010,1266054840.0
3543,6530142.0,EG 2008,1242694800.0
3546,810626.0,TED2010,1267175460.0
3573,629102.0,TED2011,1306248840.0
3575,1833163,TEDGlobal 2011,1311085677
3583,14068766.0,TED2011,1300460520.0
3584,1600336.0,TED2015,1429714783.0
3587,1645599.0,TED2012,1330536600.0
3591,595348.0,TEDMED 2009,1270543260.0
3594,1115946.0,TED1998,1221094800.0
3600,916006.0,TEDGlobal 2007,1220835600.0
3601,2322163.0,TED2007,1194310800.0
3602,1239291.0,TEDMED 2012,1340636423.0
3608,1261141.0,TED2012,1337353546.0
3636,5231662.0,TED2012,1337182252.0
3656,1731625.0,TEDGlobal 2010,1284450120.0
3661,1676547.0,TED2014,1399042580.0
3667,1479861.0,TED2013,1366210858.0
3675,2451329.0,TED2011,1312556418.0
3676,848651.0,TEDGlobal 2011,1314803416.0
3683,2961405.0,TED2011,1302014580.0
3685,933556.0,TEDSummit,1468940866.0
3869,2121828,TEDGlobal 2011,1311778328
3693,1070638.0,TED2002,1213837500.0
3694,4745046.0,TED2011,1303221205.0
3698,1272743.0,TEDxWomen 2011,1330102777.0
3724,898252.0,TED2014,1395328441.0
3729,2128930.0,TED2008,1207618020.0
3731,2016362.0,TED2016,1456157793.0
3735,649603.0,TEDGlobal 2007,1185879300.0
3737,4000867.0,TED2009,1234772820.0
3742,1721401.0,TED2015,1433861892.0
3745,1319309.0,TEDGlobal 2014,1413470444.0
3760,1621415.0,TED2007,1175559060.0
3761,18634829.0,TED2009,1234141200.0
3762,1994740.0,TEDGlobal 2012,1394207968.0
3769,3738408.0,TEDxEuston,1492181577.0
3770,2711888.0,TEDGlobal 2011,1312294129.0
3772,1009375.0,TEDWomen 2016,1478274563.0
3783,8412593.0,TED2010,1270104840.0
3797,1096832.0,TED2011,1299268740.0
3799,2635621.0,TEDxMidAtlantic,1362672147.0
3800,1875072.0,TED2013,1363265922.0
3802,1507791.0,TED2015,1427209762.0
3806,1536202.0,TED2013,1364997280.0
3822,6256884.0,TED2014,1400684635.0
3829,2061898.0,TEDIndia 2009,1258938000.0
3843,6019569.0,TED2010,1269249180.0
3848,3362724.0,TED2013,1362004680.0
3869,2121828,TEDGlobal 2011,1311778328
3881,1320234.0,TED2016,1465831127.0
3905,611754,TEDxTelAviv 2010,1290006420
3907,2357114.0,TED2013,1367334082.0
3919,2057633.0,TED2011,1299270660.0
3920,3589023.0,TED2014,1409756073.0
3929,9514175.0,TED2005,1197504780.0
3930,629487.0,TED2010,1274952720.0
3940,2676603.0,TED2016,1473259922.0
3941,4777397.0,TED2013,1363014731.0
3944,987403.0,TED2016,1485791317.0
3961,701883.0,TEDGlobal 2007,1186647000.0
3964,4817941.0,TEDMED 2013,1370272219.0
3965,2284573.0,TED2010,1268211600.0
3968,2180400.0,TED2015,1429801255.0
3974,3692078.0,TED2010,1273827600.0
3992,1761707.0,TED Fellows Retreat 2015,1445961061.0
3993,3196330.0,TED2012,1331824192.0
3995,2974908.0,TED2007,1191216180.0
3996,6970568.0,TEDGlobal 2012,1341846140.0
