id,standing ovation,mean,median,variance,standard deviation,sentence count
1253,0,24.47,21.0,378.68,19.46,75
1535,0,16.3,14.0,97.31,9.86,54
3322,0,16.8,14.5,106.68,10.33,44
1904,0,16.03,13.0,121.82,11.04,119
506,0,12.56,12.0,40.77,6.38,140
512,0,19.36,17.0,136.43,11.68,53
1938,0,16.19,16.0,115.63,10.75,69
3120,0,17.1,15.5,110.69,10.52,58
2206,0,19.1,17.0,150.61,12.27,89
3118,0,18.52,17.0,131.1,11.45,109
3130,0,20.42,19.0,192.98,13.89,135
3642,0,20.41,14.0,348.49,18.67,97
3124,0,13.97,12.0,95.77,9.79,156
3871,0,17.02,15.0,157.11,12.53,65
1096,0,25.71,26.0,201.8,14.21,69
1928,0,14.75,13.0,94.45,9.72,186
2004,0,15.99,13.0,109.29,10.45,164
2992,0,14.73,13.0,87.74,9.37,128
2789,0,23.03,20.5,189.3,13.76,108
2945,0,21.67,20.0,147.28,12.14,113
3483,0,17.66,14.0,179.81,13.41,141
700,0,12.16,10.5,55.27,7.43,96
2170,0,13.3,12.0,74.65,8.64,150
1451,0,16.1,14.0,105.29,10.26,31
3252,0,16.32,14.0,135.99,11.66,71
2825,0,20.27,18.0,163.13,12.77,132
1486,0,21.91,15.0,355.63,18.86,89
3044,0,14.64,11.0,151.13,12.29,103
1135,0,15.68,11.0,196.58,14.02,130
3911,0,17.06,15.0,107.89,10.39,147
2399,0,17.76,15.0,140.41,11.85,107
3939,0,14.5,13.0,66.25,8.14,127
1684,0,19.11,13.0,233.22,15.27,101
2398,0,17.68,13.0,245.81,15.68,103
1875,0,15.39,13.0,111.22,10.55,123
3904,0,8.26,7.0,36.13,6.01,61
3079,0,17.82,16.0,121.96,11.04,183
675,0,14.74,13.0,127.49,11.29,69
661,0,13.79,11.0,96.88,9.84,186
885,0,19.64,17.0,110.73,10.52,155
3535,0,17.18,14.0,144.72,12.03,99
3521,0,17.64,15.0,141.23,11.88,135
1524,0,19.73,18.0,116.93,10.81,121
503,0,19.04,17.0,111.81,10.57,109
1929,0,8.96,8.0,21.02,4.58,107
1732,0,15.0,13.0,85.17,9.23,93
1726,0,16.14,12.0,147.77,12.16,164
2561,0,18.75,17.0,108.58,10.42,154
2575,0,19.86,15.0,200.58,14.16,138
2205,0,22.18,22.0,86.98,9.33,61
3655,0,22.0,20.0,230.18,15.17,35
3696,0,14.29,12.0,100.09,10.0,170
515,0,20.15,20.0,75.78,8.71,52
2775,0,9.84,8.0,68.42,8.27,185
1297,0,18.41,16.0,169.95,13.04,49
1308,0,16.99,14.0,178.3,13.35,168
1452,0,14.47,12.0,104.91,10.24,114
2832,0,10.89,8.0,89.33,9.45,103
1491,0,11.33,10.0,54.51,7.38,112
3709,0,16.34,11.0,229.12,15.14,208
2365,0,19.4,18.0,91.75,9.58,87
3053,0,12.85,12.0,71.47,8.45,110
3721,0,19.1,17.0,97.52,9.87,39
449,0,20.9,19.0,142.14,11.92,144
3091,0,20.9,20.0,80.56,8.98,31
3052,0,17.58,15.0,130.3,11.41,161
2416,0,19.75,18.0,155.54,12.47,99
2628,0,18.4,18.0,86.08,9.28,116
11,0,21.01,16.0,188.18,13.72,107
3318,0,17.71,13.5,152.91,12.37,38
528,0,15.32,12.0,126.53,11.25,66
1902,0,13.22,11.0,86.2,9.28,73
1916,0,19.41,17.0,133.33,11.55,150
2238,0,17.03,15.0,144.5,12.02,198
2204,0,13.96,11.0,129.1,11.36,99
1024,0,19.75,16.0,262.67,16.21,159
598,0,16.63,15.5,91.8,9.58,70
2277,0,17.13,16.0,101.92,10.1,84
3169,0,13.54,12.0,79.58,8.92,63
3182,0,14.7,12.0,95.72,9.78,147
567,0,12.75,9.0,104.94,10.24,126
3814,0,17.83,14.0,137.06,11.71,115
2061,0,18.74,16.0,178.92,13.38,113
2920,0,15.26,13.0,112.88,10.62,179
2934,0,14.9,13.0,64.82,8.05,150
3551,0,12.14,11.0,57.41,7.58,29
1420,0,13.94,12.0,86.58,9.3,120
3223,0,16.29,14.0,132.41,11.51,222
1434,0,14.44,13.0,62.44,7.9,115
76,0,14.61,11.5,124.03,11.14,66
1385,0,17.48,12.0,212.18,14.57,27
177,0,18.03,15.0,100.47,10.02,73
3035,0,22.69,17.0,334.73,18.3,118
375,0,17.27,16.0,163.14,12.77,203
1805,0,17.0,15.5,82.66,9.09,132
3746,0,12.72,10.0,96.66,9.83,259
3020,0,16.1,15.0,85.65,9.25,171
1637,0,21.97,20.0,186.88,13.67,119
3752,0,16.08,14.0,77.21,8.79,61
